text,label
"Here are Thursday's biggest analyst calls: Apple, Amazon, Tesla, Palantir, DocuSign, Exxon &amp; more  ",Analyst Update
"Buy Las Vegas Sands as travel to Singapore builds, Wells Fargo says  ",Analyst Update
"Piper Sandler downgrades DocuSign to sell, citing elevated risks amid CEO transition  ",Analyst Update
"Analysts react to Tesla's latest earnings, break down what's next for electric car maker  ",Analyst Update
"Netflix and its peers are set for a ‘return to growth,’ analysts say, giving one stock 120% upside  ",Analyst Update
Barclays believes earnings for these underperforming stocks may surprise Wall Street  ,Analyst Update
"Bernstein upgrades Alibaba, says shares can rally more than 20% from here  ",Analyst Update
"Analysts react to Netflix's strong quarter, with some pointing to a potential bottom for the stock  ",Analyst Update
"Buy Chevron as shares look attractive at these levels, HSBC says  ",Analyst Update
Morgan Stanley says these global stocks are set for earnings beats — and gives one over 45% upside  ,Analyst Update
Investing Club: Analysts dropped a bunch of new notes on energy stocks. Here's where we stand on ours  ,Analyst Update
"CFRA downgrades Disney, says lack of cash dividend could hurt its streaming platform  ",Analyst Update
Bank of America is more bullish than JPMorgan. Here's what that means for Wall Street and the economy  ,Analyst Update
"Here are Tuesday's biggest analyst calls: Meta, Chipotle, Apple, Tesla, Exxon, Netflix, Sunrun &amp; more  ",Analyst Update
"Citi cuts Microsoft price target, citing foreign exchange headwinds  ",Analyst Update
"Exchange operator Cboe is a buy as recession chances rise, Morgan Stanley says  ",Analyst Update
"Strong earnings may not be enough to bring Netflix out of its funk, Credit Suisse says  ",Analyst Update
"Tesla's bitcoin holdings could result in a $460 million hit for the carmaker, Barclays says  ",Analyst Update
Morningstar strategist says two FAANG stocks look incredibly cheap right now  ,Analyst Update
Analyst call of the day for @CNBCPro subscribers: Citi added a positive catalyst watch to Delta and said it sees “upside risk.”  Subscribe to see the analyst calls of the day curated by CNBC Pro.  ,Analyst Update
"Apple's near-term future looks murky as consumer spending slows, Bernstein says  ",Analyst Update
"Buy Tesla in the short term to capture potential upside from earnings, says Deutsche Bank  ",Analyst Update
"Here are Monday's biggest analyst calls of the day: Tesla, Apple, Yum, Delta, Fox, Netflix &amp; more  ",Analyst Update
"Deutsche Bank downgrades General Motors, cites looming pricing risks to automakers  ",Analyst Update
"Morgan Stanley downgrades Paramount and Fox, warns of possible 'streaming recession'  ",Analyst Update
"Buy Yum Brands to defend against a slowdown in consumer spending, Goldman Sachs says  ",Analyst Update
Analysts reveal the top stocks with 'significant upside potential' heading into earnings  ,Analyst Update
Argus downgrades Delta citing weak outlook following second-quarter earnings  ,Analyst Update
"Analyst call of the day for @CNBCPro subscribers: Bank of America kept its buy rating on shares of Nvidia, but said any weakness in the stock could impact other semiconductor companies.  Subscribe to see the analyst calls of the day curated by CNBC Pro.  ",Analyst Update
"Here are Friday's biggest analyst calls of the day: McDonald's, Netflix, Amazon, Nvidia, Visa &amp; more  ",Analyst Update
"Bernstein calls medtech company Dexcom a clear buy, citing long-term runway for diabetes management  ",Analyst Update
"UBS slashes Netflix price target ahead of earnings, warns of cautious outlook for streaming giant  ",Analyst Update
"BMO cuts Microsoft price target, citing pressure on software valuations and potential recession  ",Analyst Update
Edward Jones says buy Qualcomm as the chipmaker's pullback creates an attractive buying opportunity  ,Analyst Update
Credit Suisse adds financials to its top stock picks for July  ,Analyst Update
"Here are Thursday's biggest analyst calls: Tesla, Amazon, Twitter, Qualcomm, Costco, Apple &amp; more  ",Analyst Update
"Deutsche Bank upgrades Costco to buy, says club business model will outperform in uncertain economy  ",Analyst Update
"Morgan Stanley's Jonas trims price target for Tesla, citing slowing economy  ",Analyst Update
"BMO upgrades Advanced Micro Devices, says chipmaker is gaining market share from rivals  ",Analyst Update
"Bank of America slashes S&amp;P 500 target, sees stocks falling another 5% by year-end  ",Analyst Update
"Truist initiates coverage of Tesla with a buy rating and $1,000 price target  ",Analyst Update
Goldman says this stock is a smart defensive play in the economically sensitive construction group  ,Analyst Update
Wall Street bets on analysts cutting earnings estimates as the economy shows signs of slowing  ,Analyst Update
Raymond James says Bath &amp; Body Works is oversold and will jump nearly 70% from here  ,Analyst Update
"Analyst call of the day for @CNBCPro subscribers: Citi reiterates Nvidia as buy. It lowered its price target on Nvidia to $285 per share from $315, but said gaming weakness is priced in.  Subscribe to see the analyst calls of the day curated by CNBC Pro.  ",Analyst Update
Company downgrades are picking up steam as profit outlooks dim  ,Analyst Update
"Morgan Stanley names its top stocks in a ""safe haven"" tech sector — giving one upside of 60%  ",Analyst Update
"Susquehanna downgrades JetBlue, cites struggles with cost structure  ",Analyst Update
"Here are Tuesday's biggest analyst calls: Tesla, Apple, Gap, JPMorgan chase, Nvidia, Southwest  ",Analyst Update
Morgan Stanley downgrades American Express on lower spending among high-end consumers  ,Analyst Update
