title tokens,label
กม|ธ.|แจง|มติ|เซ็ต|ซี|โร่| |กกต.|หวั่น|เป็น|ปลา| |2| |น้ำ|ทำงาน|ลำบาก| |ย้ำ|ไม่|มี|ใบสั่ง|จาก| |คสช.,การเมือง
เสนอ|ตั้ง|เขต|ศก.|-|สังคม|พิเศษ| |6|จว.|ใต้,สิ่งแวดล้อม
เครือข่าย|แรงงาน| |–| |นักศึกษา| |ยื่น|หนังสือ|ถึง|ทูต|อาร์เจนตินา| |กรณี| |“|กุ|ส|ตา|โว| |เว|รา|”| |ถูก|ทำร้าย,ต่างประเทศ
วิญญาณ|หลอน|ของ|การ|ล้อม|สังหาร,การเมือง
ดีเอสไอ|ลง| |3|จว.|ใต้|หา|ข้อมูล|ก่อการร้าย,สิ่งแวดล้อม
‘|ความยุติธรรม|’| |(|Justice|):| |อัตวิสัย| |(|subjective|)| |หรือ| |ภววิสัย| |(|objective|)?,การเมือง
กสทช.|เผย|ผลสอบ|กรณี|มี|ผู้|ถูก|ไฟ|ดูด|ขณะ|ชาร์จ|ไอโฟน|เสียชีวิต| |เหตุ|ใช้|อุปกรณ์|ไม่|ได้มาตรฐาน,คุณภาพชีวิต
องค์กร|สื่อ|อินโดฯ| |ประณาม|รัฐ| |เรียกร้อง|การ|เข้าถึง|ข้อมูล|หลัง|จับกุม|นัก| |นสพ.|ชาว|ดัชต์| |4| |คน|ที่|ปา|ปัว,การเมือง
กระแส|ภาพยนตร์|ขนาดเล็ก| |(|Micro| |Movies|)| |สู้|กอง|เซ็นเซอร์|ใน|จีน,ต่างประเทศ
กลุ่ม|หยุด|ยิง|ไทใหญ่| |ฟื้น|ตั้ง|องค์กร|การเมือง| |SSPP| |ใช้|ชื่อ|กองทัพ| |SSA,การเมือง
"""|เห็น|กับ|ตา|""| |ผู้ว่า|นราฯ| |รับ| |ชาว|ปะ|ลุ|รู|ไม่|วางใจ|เจ้าหน้าที่|รัฐ",การเมือง
NDM| |จัด|คอนเสิร์ต|ระดมทุน| |เตรียม|ความพร้อม|เดินสาย|ประชามติ| |รธน.,การเมือง
วิเคราะห์|ความ|เลวร้าย|ของ|รัฐธรรมนูญ| |คมช.,การเมือง
จดหมาย|จาก|สมบัติ| |บุญ|งาม|อนงค์| |ถึง|กรรมการ|สิทธิ|ฯ| |“|โปรด|สนับสนุน|การ|ยกเลิก|พ.ร.ก.|ฉุกเฉิน|”,การเมือง
ความเห็น|และ|ข้อเสนอ|ต่อ|ร่าง| |พ.ร.บ.| |การ|ชุมนุม|สาธารณะ|จาก|กรรมการ|สิทธิ|ฯ,การเมือง
'คน|ตุลา|ต้าน|เผด็จการ|'| |เรียก|ระดมพล| |กำหนด|ท่าที|ฝ่า|วิกฤติ,การเมือง
อภิปราย|:| |นโยบาย|พรรคการเมือง|ต่อ|การคืน|อำนาจ|ให้|ชุมชน|ท้องถิ่น,การเมือง
จุฬาฯ| |-|องค์กร|ประชา|สังคม| |แถลง|ค้าน|ร่าง|นิรโทษ|เหมา|เข่ง,การเมือง
20| |คำถาม| |ทำความรู้จัก|กับ| |'|น้อง|จีน|'| |หญิงสาว|ผู้|ฝ่า|ม็อบ| |ไป|มอบ|หนังสือ|ให้| |กกต.|ลาออก,การเมือง
ศูนย์|ทดสอบ|ฉลาด|ซื้อ|ยัน|พบ|วัตถุ|กัน|เสีย|ใน|ขนมปัง|จริง| |ย้ำ|แล็ป|ตรวจ|มี|มาตรฐานสากล,คุณภาพชีวิต
ชำนาญ| |จันทร์|เรือง|:| |ประชามติ|ภายใต้|คำสั่ง| |คสช.,การเมือง
ใบตอง|แห้ง|:| |รถ|คัน|นี้|มี|สิทธิมนุษยชน,การเมือง
“|สนนท.|”| |ชี้| |“|รัฐบาล|”| |ละเมิดสิทธิ์| |สลาย|การ|ชุมนุม|คนงาน| |แถม|ออกหมายจับ|ข้อหา| |“|ก่อความวุ่นวาย|”,คุณภาพชีวิต
รัฐ|เตรียม|ซ้อม|แผน|ฯ| |รับมือ|ซึนามิ|รอบ| |2,สิ่งแวดล้อม
“|แอม|เน|สตี|มาเลเซีย|”| |สัมภาษณ์|พิเศษ| |“|ออง| |ซาน| |ซูจี|”,ต่างประเทศ
ประสาน|มหาดไทย|คุม|เข้ม|ปืน|ชรบ.,สิ่งแวดล้อม
เจอกัน|ครึ่งทาง| |'|สหภาพแรงงาน|-|บ.|โตโยต้า|'| |ญี่ปุ่น| |ตกลง|ขึ้น|ค่าแรง|ครึ่งหนึ่ง|จาก|ข้อเรียกร้อง,ต่างประเทศ
“|การ|แก้ไข|ความขัดแย้ง|ใน|หมู่|ประชาชน| |(|2|)”,การเมือง
"บทความ|จาก|ไพบูลย์| |วัฒน|ศิ|ริ|ธรรม|:| |""|สันติวิธี|""| |กับ|ทาง|ออกจาก|วิกฤต|สังคม|ไทย",การเมือง
ความเข้าใจ|ที่|ผิด|เรื่อง|ผังเมือง|...| |หนาแน่น| |และ| |แออัด,คุณภาพชีวิต
สุภ|ลักษณ์| |กา|ญจน|ขุน|ดี|:| |จะ|รักษา|ไว้|ซึ่ง|รัฐธรรมนูญ|ของ|ทหาร| |?,ต่างประเทศ
"รื้อ|โครงสร้าง| |""|กก.|สิทธิ|เกาหลี|""| |ขึ้น|ตรง|ประธานาธิบดี",การเมือง
เอก|ชัย|ถวาย|ฎีกา|ขอ|นายก|พระราชทาน| |ปลด|ประยุทธ์| |ชี้|บริหาร|ล้มเหลว| |ไม่|โปร่งใส| |ตรวจสอบ|ไม่|ได้,การเมือง
'|คนงาน|รถไฟ|'| |ขอ| |'|ประยุทธ์|'| |ชะลอ|พิจารณา| |ร่าง| |พ.ร.บ.|การขนส่ง|ทาง|ราง,เศรษฐกิจ
ออกคำสั่ง|หัวหน้า| |คสช.| |ขยาย|กรอบ|เวลา|ใน|การ|ดำเนินการ|ทาง|ธุรการ|ของ|พรรคการเมือง,การเมือง
บีบีซี|สงสัย|ทำไม|กองทัพ|มาเลเซีย|นิ่งเฉย|หลัง|เรดาร์|เผย| |MH|370| |ออก|นอก|เส้นทาง,ต่างประเทศ
"ธีร|ยุทธ| |บุญ|มี|:| |ปาฐกถา| |""|ทบทวน|ทิศทาง|ประเทศ|ไทย|""",การเมือง
ใบตอง|แห้ง| |'|Media| |inside| |Out|':| |ศึก|สายเลือด|คนดี|เขย่า| |TPBS,การเมือง
ชาว|ภูมิซรอล|ให้กำลังใจ| |'|วีร|ชัย| |พ|ลา|ศรัย|'| |และ|ทีม|สู้คดี|ศาลโลก,สังคม
สัมภาษณ์|ประจักษ์| |ก้อง|กีรติ|:| |ขบวนการ|ประชาชน|ต่อต้าน|ประชาธิปไตย| |และ|แนวโน้ม|ความรุนแรง,การเมือง
สลด|!| |คุย|การเมือง|ไม่|ถูกคอ| |ถูก|ตัดหัว|เสียบ|ประจาน,การเมือง
"บทความ| |""|ป่า|ทาม|กุด|เป่ง|""| |17| |ปี| |ของ|การอนุรักษ์|โดย|ชุมชน",การเมือง
